pschlump=# \dt
                   List of relations
 Schema |           Name            | Type  |  Owner
 tiger  | featnames                 | table | pschlump
 tiger  | geocode_settings          | table | pschlump
 tiger  | geocode_settings_default  | table | pschlump
 tiger  | loader_lookuptables       | table | pschlump
 tiger  | loader_platform           | table | pschlump
 tiger  | loader_variables          | table | pschlump
 tiger  | pagc_gaz                  | table | pschlump
 tiger  | pagc_lex                  | table | pschlump
 tiger  | pagc_rules                | table | pschlump
 tiger  | place                     | table | pschlump
 tiger  | place_lookup              | table | pschlump
 tiger  | secondary_unit_lookup     | table | pschlump
 tiger  | state                     | table | pschlump
 tiger  | state_lookup              | table | pschlump
 tiger  | street_type_lookup        | table | pschlump
 tiger  | tabblock                  | table | pschlump
 tiger  | tract                     | table | pschlump
 tiger  | zcta5                     | table | pschlump
 tiger  | zip_lookup                | table | pschlump
 tiger  | zip_lookup_all            | table | pschlump
 tiger  | zip_lookup_base           | table | pschlump
 tiger  | zip_state                 | table | pschlump
 tiger  | zip_state_loc             | table | pschlump
(200 rows)
